counter,instances,instances(%),weakerInstances,weakerInstances(%)
0,1638,100.0,272,100.0
1,40618,2479.74,506,186.03
2,40449,2469.42,506,186.03
3,40449,2469.42,506,186.03
4,40369,2464.53,506,186.03
5,39995,2441.7,506,186.03
6,39621,2418.87,506,186.03
7,39511,2412.15,506,186.03
